level1,level2,level3,level4,level5,level6,level7,level8,level9
root2,cell,immune cell,lymphoid,Hematopoietic stem cell,Hematopoietic stem cell,Hematopoietic stem cell,Hematopoietic stem cell,Hematopoietic stem cell
root2,cell,immune cell,lymphoid,T cell,T cell CD8+,T cell CD8+ naive,T cell CD8+ naive,T cell CD8+ naive
root2,cell,immune cell,lymphoid,T cell,T cell CD8+,T cell CD8+ memory,T cell CD8+ memory,T cell CD8+ central memory
root3,cell,immune cell,lymphoid,T cell,T cell CD8+,T cell CD8+ memory,T cell CD8+ memory,T cell CD8+ effector memory
root2,cell,immune cell,lymphoid,T cell,T cell CD4+,T cell CD4+ (non-regulatory),T cell CD4+ naive,T cell CD4+ naive
root2,cell,immune cell,lymphoid,T cell,T cell CD4+,T cell CD4+ (non-regulatory),T cell CD4+ memory,T cell CD4+ memory resting
root2,cell,immune cell,lymphoid,T cell,T cell CD4+,T cell CD4+ (non-regulatory),T cell CD4+ memory,T cell CD4+ memory activated
root2,cell,immune cell,lymphoid,T cell,T cell CD4+,T cell CD4+ (non-regulatory),T cell CD4+ memory,T cell CD4+ central memory
root2,cell,immune cell,lymphoid,T cell,T cell CD4+,T cell CD4+ (non-regulatory),T cell CD4+ memory,T cell CD4+ effector memory
root2,cell,immune cell,lymphoid,T cell,T cell CD4+,T cell CD4+ (non-regulatory),T cell follicular helper,T cell follicular helper
root2,cell,immune cell,lymphoid,T cell,T cell CD4+,T cell CD4+ (non-regulatory),T cell CD4+ Th1,T cell CD4+ Th1
root2,cell,immune cell,lymphoid,T cell,T cell CD4+,T cell CD4+ (non-regulatory),T cell CD4+ Th2,T cell CD4+ Th2
root2,cell,immune cell,lymphoid,T cell,T cell CD4+,T cell regulatory (Tregs),T cell regulatory (Tregs),T cell regulatory (Tregs)
root2,cell,immune cell,lymphoid,T cell,T cell gamma delta,T cell gamma delta,T cell gamma delta,T cell gamma delta
root2,cell,immune cell,lymphoid,T cell,T cell NK,T cell NK,T cell NK,T cell NK
root2,cell,immune cell,lymphoid,B cell,B cell naive,B cell naive,B cell naive,B cell naive
